100
  29 	    42005 	   27
  29 	    42002 	   62
  28 	    42003 	  111
  27 	    42003 	  138
  28 	    42005 	  151
  28 	    42004 	  177
  26 	    42003 	  188
  26 	    42006 	  217
  28 	    42006 	  229
  29 	    42002 	  264
  27 	    42001 	  286
  28 	    42004 	  303
  27 	    42001 	  314
  28 	    42002 	  337
  27 	    42001 	  371
  27 	    42007 	  395
  29 	    42002 	  408
  28 	    42001 	  438
  26 	    42003 	  450
  28 	    42002 	  481
  27 	    42007 	  515
  29 	    42004 	  520
  28 	    42005 	  533
  27 	    42006 	  578
  28 	    42004 	  592
  29 	    42005 	  606
  29 	    42001 	  643
  26 	    42006 	  671
  26 	    42005 	  674
  29 	    42002 	  723
  26 	    42005 	  749
  26 	    42001 	  761
  28 	    42007 	  805
  29 	    42005 	  825
  28 	    42001 	  842
  27 	    42001 	  844
  27 	    42001 	  846
  26 	    42005 	  876
  28 	    42007 	  891
  27 	    42007 	  910
  26 	    42004 	  941
  27 	    42004 	  962
  27 	    42006 	  971
  29 	    42005 	  977
  27 	    42006 	 1013
  27 	    42002 	 1046
  29 	    42006 	 1074
  29 	    42005 	 1103
  29 	    42005 	 1123
  26 	    42004 	 1138
  26 	    42003 	 1184
  29 	    42005 	 1229
  28 	    42006 	 1250
  29 	    42005 	 1288
  26 	    42001 	 1329
  28 	    42001 	 1329
  28 	    42003 	 1353
  28 	    42004 	 1359
  29 	    42001 	 1386
  27 	    42004 	 1422
  26 	    42005 	 1459
  26 	    42003 	 1466
  28 	    42002 	 1474
  29 	    42001 	 1511
  29 	    42003 	 1529
  26 	    42006 	 1540
  26 	    42002 	 1566
  26 	    42005 	 1579
  27 	    42003 	 1585
  26 	    42005 	 1603
  26 	    42005 	 1622
  27 	    42005 	 1668
  26 	    42001 	 1688
  29 	    42001 	 1737
  26 	    42002 	 1781
  28 	    42005 	 1820
  28 	    42001 	 1839
  28 	    42005 	 1853
  27 	    42002 	 1858
  26 	    42005 	 1869
  28 	    42003 	 1918
  29 	    42002 	 1936
  26 	    42007 	 1947
  28 	    42001 	 1948
  27 	    42003 	 1976
  27 	    42002 	 2012
  26 	    42001 	 2034
  27 	    42006 	 2050
  28 	    42003 	 2074
  27 	    42002 	 2098
  26 	    42001 	 2100
  29 	    42006 	 2100
  26 	    42002 	 2123
  29 	    42006 	 2153
  27 	    42005 	 2163
  29 	    42005 	 2194
  29 	    42006 	 2203
  27 	    42001 	 2221
  28 	    42003 	 2247
  28 	    42003 	 2287
