1000
  34 	      287 	   27
  16 	      582 	   52
  37 	      427 	   76
  22 	      105 	   98
  41 	      170 	  121
  27 	      493 	  157
  23 	      695 	  183
  19 	      160 	  207
  33 	      801 	  224
  24 	      632 	  234
  30 	      649 	  261
   9 	      510 	  273
  44 	      809 	  304
  43 	      628 	  322
  22 	      390 	  336
  38 	      249 	  365
  16 	      643 	  403
  27 	        2 	  438
   7 	      586 	  470
  21 	      509 	  501
   6 	      442 	  515
  28 	      399 	  550
  47 	      778 	  563
   8 	       37 	  563
  33 	       64 	  592
  18 	      381 	  606
  44 	       15 	  613
   9 	      763 	  621
  39 	      589 	  654
   2 	      117 	  673
  33 	      169 	  699
  19 	      398 	  736
  27 	      541 	  775
  40 	      604 	  785
  35 	      479 	  802
   2 	      762 	  804
  18 	      253 	  811
   7 	      494 	  831
  37 	      164 	  846
  40 	       65 	  860
  41 	      196 	  896
  18 	      358 	  907
  32 	       12 	  916
  28 	      598 	  932
  48 	      418 	  938
  16 	       77 	  976
  20 	      669 	 1004
  22 	       93 	 1048
   4 	      462 	 1048
  19 	       35 	 1068
  41 	      382 	 1074
  24 	      465 	 1084
  47 	      682 	 1115
   6 	      120 	 1158
  15 	       87 	 1159
   1 	      434 	 1199
  35 	      491 	 1223
  15 	      690 	 1249
  44 	      316 	 1266
  16 	      802 	 1282
  33 	      156 	 1299
  29 	       24 	 1301
  25 	      170 	 1309
  46 	      504 	 1346
  36 	      782 	 1369
  29 	        4 	 1375
  29 	      838 	 1386
   5 	      152 	 1429
  14 	      345 	 1470
  41 	      521 	 1483
  29 	      325 	 1507
  18 	      372 	 1543
  25 	      814 	 1558
  34 	      603 	 1572
  23 	      336 	 1591
  41 	       12 	 1620
   5 	      341 	 1659
  33 	      511 	 1703
  48 	      616 	 1703
   5 	       57 	 1744
  23 	      355 	 1758
  44 	      833 	 1781
  41 	      689 	 1807
  11 	      178 	 1823
  12 	       61 	 1866
   6 	      841 	 1892
  45 	      211 	 1934
