50
  29 	    18005 	   27
  29 	    18002 	   62
  28 	    18003 	  111
  27 	    18003 	  138
  28 	    18005 	  151
  28 	    18004 	  177
  26 	    18003 	  188
  26 	    18006 	  217
  28 	    18006 	  229
  29 	    18002 	  264
  27 	    18001 	  286
  28 	    18004 	  303
  27 	    18001 	  314
  28 	    18002 	  337
  27 	    18001 	  371
  27 	    18007 	  395
  29 	    18002 	  408
  28 	    18001 	  438
  26 	    18003 	  450
  28 	    18002 	  481
  27 	    18007 	  515
  29 	    18004 	  520
  28 	    18005 	  533
  27 	    18006 	  578
  28 	    18004 	  592
  29 	    18005 	  606
  29 	    18001 	  643
  26 	    18006 	  671
  26 	    18005 	  674
  29 	    18002 	  723
  26 	    18005 	  749
  26 	    18001 	  761
  28 	    18007 	  805
  29 	    18005 	  825
  28 	    18001 	  842
  27 	    18001 	  844
  27 	    18001 	  846
  26 	    18005 	  876
  28 	    18007 	  891
  27 	    18007 	  910
  26 	    18004 	  941
  27 	    18004 	  962
  27 	    18006 	  971
  29 	    18005 	  977
  27 	    18006 	 1013
  27 	    18002 	 1046
  29 	    18006 	 1074
  29 	    18005 	 1103
  29 	    18005 	 1123
  26 	    18004 	 1138
